cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
TB,0.0,800,100.0000,4.716,0.30530,2.542,48.160
wang,0.3,200,0.0100,0.608,0.00022,2.372,0.009
wang,0.3,200,0.0203,0.608,0.00044,2.372,0.018
wang,0.3,200,0.0412,0.608,0.00087,2.372,0.035
wang,0.3,200,0.0838,0.608,0.00168,2.372,0.067
wang,0.3,200,0.1701,0.608,0.00321,2.372,0.126
wang,0.3,200,0.3455,0.608,0.00594,2.372,0.233
wang,0.3,200,0.7017,0.608,0.01065,2.372,0.420
wang,0.3,200,1.4251,0.608,0.01833,2.372,0.733
wang,0.3,200,2.8943,0.608,0.03001,2.372,1.233
wang,0.3,200,5.8780,0.608,0.04615,2.372,1.980
wang,0.3,200,11.9378,0.608,0.06579,2.372,2.981
wang,0.3,200,24.2446,0.608,0.08598,2.372,4.120
wang,0.3,200,49.2388,0.608,0.10303,2.372,5.165
wang,0.3,200,100.0000,0.608,0.11498,2.372,5.938
wang,0.3,255,0.0100,0.871,0.00026,2.668,0.011
wang,0.3,255,0.0203,0.871,0.00053,2.668,0.022
wang,0.3,255,0.0412,0.871,0.00105,2.668,0.044
wang,0.3,255,0.0838,0.871,0.00206,2.668,0.086
wang,0.3,255,0.1701,0.871,0.00398,2.668,0.165
wang,0.3,255,0.3455,0.871,0.00752,2.668,0.311
wang,0.3,255,0.7017,0.871,0.01382,2.668,0.576
wang,0.3,255,1.4251,0.871,0.02457,2.668,1.043
wang,0.3,255,2.8943,0.871,0.04193,2.668,1.843
wang,0.3,255,5.8780,0.871,0.06788,2.668,3.154
wang,0.3,255,11.9378,0.871,0.10253,2.668,5.114
wang,0.3,255,24.2446,0.871,0.14192,2.668,7.606
wang,0.3,255,49.2388,0.871,0.17859,2.668,10.156
wang,0.3,255,100.0000,0.871,0.20645,2.668,12.240
wang,0.3,309,0.0100,1.163,0.00029,2.758,0.013
wang,0.3,309,0.0203,1.163,0.00058,2.758,0.026
wang,0.3,309,0.0412,1.163,0.00116,2.758,0.052
wang,0.3,309,0.0838,1.163,0.00229,2.758,0.102
wang,0.3,309,0.1701,1.163,0.00444,2.758,0.197
wang,0.3,309,0.3455,1.163,0.00847,2.758,0.376
wang,0.3,309,0.7017,1.163,0.01580,2.758,0.706
wang,0.3,309,1.4251,1.163,0.02865,2.758,1.306
wang,0.3,309,2.8943,1.163,0.05011,2.758,2.373
wang,0.3,309,5.8780,1.163,0.08357,2.758,4.207
wang,0.3,309,11.9378,1.163,0.13044,2.758,7.108
wang,0.3,309,24.2446,1.163,0.18639,2.758,11.060
wang,0.3,309,49.2388,1.163,0.24059,2.758,15.443
wang,0.3,309,100.0000,1.163,0.28269,2.758,19.311
wang,0.3,364,0.0100,1.480,0.00030,2.756,0.015
wang,0.3,364,0.0203,1.480,0.00061,2.751,0.030
wang,0.3,364,0.0412,1.480,0.00122,2.750,0.059
wang,0.3,364,0.0838,1.480,0.00240,2.750,0.116
wang,0.3,364,0.1701,1.480,0.00470,2.750,0.224
wang,0.3,364,0.3455,1.480,0.00903,2.750,0.431
wang,0.3,364,0.7017,1.480,0.01699,2.750,0.817
wang,0.3,364,1.4251,1.480,0.03118,2.750,1.531
wang,0.3,364,2.8943,1.480,0.05537,2.750,2.832
wang,0.3,364,5.8780,1.480,0.09393,2.750,5.129
