Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
390.5299,0.8352,0.2165,0.0046,0.4964,0.5788,0.7758,0.0052,0.0603,0.0662
571.8902,0.4532,0.1968,0.0012,0.4174,0.5610,0.7945,0.0001,0.0524,0.0223
560.0431,0.9630,0.2311,0.0020,0.4874,0.5760,0.5908,0.0097,0.0912,0.0931
596.2752,0.7269,0.2618,0.0129,0.4991,0.5232,0.5441,0.0014,0.0013,0.0491
489.4680,0.6616,0.2030,0.0170,0.4314,0.5967,0.7489,0.0013,0.0213,0.0347
426.0944,0.6978,0.2228,0.0077,0.4968,0.5554,0.7484,0.0046,0.0408,0.0491
544.6450,0.8741,0.2058,0.0122,0.4890,0.5115,0.7060,0.0060,0.0222,0.0278
527.4331,0.9726,0.1582,0.0066,0.4427,0.5877,0.7689,0.0104,0.0286,0.0243
501.3206,0.7742,0.2684,0.0107,0.4940,0.5920,0.7087,0.0025,0.1321,0.0297
592.2437,0.9051,0.1662,0.0084,0.4731,0.5902,0.6906,0.0017,0.1116,0.0592
563.0653,0.6660,0.2452,0.0028,0.4619,0.5857,0.7505,0.0112,0.0652,0.1038
552.5084,0.9946,0.2069,0.0140,0.4922,0.5932,0.4503,0.0124,0.0252,0.0521
588.7413,0.7919,0.2764,0.0133,0.4880,0.5812,0.7997,0.0152,0.0077,0.1281
465.5907,0.8644,0.2592,0.0050,0.4906,0.5403,0.6129,0.0074,0.0373,0.0045
459.9482,0.9682,0.2541,0.0012,0.4279,0.5942,0.7562,0.0115,0.0466,0.0105
519.3076,0.9990,0.2426,0.0016,0.4933,0.5530,0.6892,0.0080,0.1143,0.0439
538.9189,0.5546,0.2919,0.0077,0.4706,0.5847,0.7710,0.0132,0.0489,0.0145
442.3302,0.7284,0.2498,0.0082,0.4908,0.5951,0.6559,0.0030,0.0169,0.0945
560.7310,0.8553,0.2965,0.0191,0.4764,0.5911,0.5430,0.0053,0.0340,0.0047
557.2601,0.7834,0.2015,0.0046,0.4445,0.5993,0.7184,0.0065,0.0749,0.0874
473.9117,0.6344,0.2048,0.0044,0.4911,0.5231,0.7960,0.0096,0.0003,0.0857
498.9735,0.6857,0.1643,0.0016,0.4543,0.5778,0.5259,0.0006,0.0047,0.0118
590.8564,0.9923,0.2652,0.0054,0.4498,0.5799,0.4975,0.0011,0.0516,0.0566
580.2991,0.6690,0.2327,0.0183,0.4808,0.5715,0.7049,0.0023,0.0174,0.1106
485.4930,0.9875,0.1857,0.0038,0.4783,0.5502,0.5825,0.0103,0.0277,0.0119
529.8053,0.9637,0.2949,0.0295,0.4975,0.5777,0.7417,0.0083,0.0094,0.0158
568.9531,0.6240,0.1936,0.0155,0.4886,0.5739,0.7672,0.0133,0.1026,0.0192
545.6060,0.8803,0.2077,0.0216,0.4811,0.5636,0.7243,0.0079,0.0368,0.0311
595.0777,0.4770,0.2249,0.0015,0.4679,0.5930,0.7811,0.0179,0.1202,0.0336
515.7548,0.5845,0.2174,0.0120,0.4982,0.5983,0.6783,0.0091,0.0396,0.0912
596.1157,0.8911,0.2698,0.0137,0.4941,0.5684,0.4593,0.0043,0.0266,0.0584
578.5550,0.7483,0.1811,0.0040,0.4619,0.5590,0.7917,0.0031,0.0613,0.1038
450.0979,0.9352,0.1980,0.0045,0.4918,0.5744,0.6699,0.0193,0.0329,0.0425
544.9139,0.7096,0.2126,0.0145,0.4866,0.5488,0.7428,0.0082,0.0063,0.0923
