cross_section,f_B,Ti_keV,PF_over_PB
wang,0.0875,475.0,0.95560
wang,0.0875,500.0,0.95010
wang,0.0875,525.0,0.94471
wang,0.0875,550.0,0.93954
wang,0.0875,575.0,0.93463
wang,0.0875,600.0,0.93000
wang,0.1000,150.0,0.63530
wang,0.1000,175.0,0.75294
wang,0.1000,200.0,0.83987
wang,0.1000,225.0,0.90100
wang,0.1000,250.0,0.94233
wang,0.1000,275.0,0.96896
wang,0.1000,300.0,0.98497
wang,0.1000,325.0,0.99396
wang,0.1000,350.0,0.99721
wang,0.1000,375.0,0.99695
wang,0.1000,400.0,0.99439
wang,0.1000,425.0,0.99043
wang,0.1000,450.0,0.98517
wang,0.1000,475.0,0.98010
wang,0.1000,500.0,0.97492
wang,0.1000,525.0,0.96984
wang,0.1000,550.0,0.96494
wang,0.1000,575.0,0.96029
wang,0.1000,600.0,0.95590
wang,0.1125,150.0,0.63823
wang,0.1125,175.0,0.75792
wang,0.1125,200.0,0.84642
wang,0.1125,225.0,0.90845
wang,0.1125,250.0,0.95102
wang,0.1125,275.0,0.97874
wang,0.1125,300.0,0.99569
wang,0.1125,325.0,1.00499
wang,0.1125,350.0,1.00942
wang,0.1125,375.0,1.00978
wang,0.1125,400.0,1.00777
wang,0.1125,425.0,1.00429
wang,0.1125,450.0,0.99996
wang,0.1125,475.0,0.99521
wang,0.1125,500.0,0.98993
wang,0.1125,525.0,0.98516
wang,0.1125,550.0,0.98056
wang,0.1125,575.0,0.97618
wang,0.1125,600.0,0.97204
wang,0.1250,150.0,0.63685
wang,0.1250,175.0,0.75728
wang,0.1250,200.0,0.84519
wang,0.1250,225.0,0.90948
wang,0.1250,250.0,0.95292
wang,0.1250,275.0,0.98145
wang,0.1250,300.0,0.99914
wang,0.1250,325.0,1.00912
wang,0.1250,350.0,1.01413
wang,0.1250,375.0,1.01505
wang,0.1250,400.0,1.01355
wang,0.1250,425.0,1.01052
wang,0.1250,450.0,1.00661
wang,0.1250,475.0,1.00225
wang,0.1250,500.0,0.99772
wang,0.1250,525.0,0.99286
wang,0.1250,550.0,0.98856
wang,0.1250,575.0,0.98445
wang,0.1250,600.0,0.98058
wang,0.1375,150.0,0.63223
wang,0.1375,175.0,0.75268
wang,0.1375,200.0,0.84117
wang,0.1375,225.0,0.90561
wang,0.1375,250.0,0.94960
wang,0.1375,275.0,0.97871
wang,0.1375,300.0,0.99699
wang,0.1375,325.0,1.00752
wang,0.1375,350.0,1.01265
wang,0.1375,375.0,1.01445
wang,0.1375,400.0,1.01341
wang,0.1375,425.0,1.01082
wang,0.1375,450.0,1.00731
wang,0.1375,475.0,1.00331
wang,0.1375,500.0,0.99913
wang,0.1375,525.0,0.99495
wang,0.1375,550.0,0.99056
wang,0.1375,575.0,0.98673
wang,0.1375,600.0,0.98311
wang,0.1500,150.0,0.62515
wang,0.1500,175.0,0.74506
wang,0.1500,200.0,0.83318
wang,0.1500,225.0,0.89800
wang,0.1500,250.0,0.94227
wang,0.1500,275.0,0.97177
wang,0.1500,300.0,0.99049
wang,0.1500,325.0,1.00148
wang,0.1500,350.0,1.00705
wang,0.1500,375.0,1.00927
wang,0.1500,400.0,1.00865
wang,0.1500,425.0,1.00646
wang,0.1500,450.0,1.00331
wang,0.1500,475.0,0.99967
wang,0.1500,500.0,0.99581
wang,0.1500,525.0,0.99195
wang,0.1500,550.0,0.98818
wang,0.1500,575.0,0.98427
wang,0.1500,600.0,0.98090
wang,0.1625,150.0,0.61623
wang,0.1625,175.0,0.73515
wang,0.1625,200.0,0.82281
wang,0.1625,225.0,0.88789
wang,0.1625,250.0,0.93183
wang,0.1625,275.0,0.96157
wang,0.1625,300.0,0.98060
wang,0.1625,325.0,0.99195
wang,0.1625,350.0,0.99791
wang,0.1625,375.0,1.00049
wang,0.1625,400.0,1.00025
wang,0.1625,425.0,0.99842
wang,0.1625,450.0,0.99563
wang,0.1625,475.0,0.99231
wang,0.1625,500.0,0.98876
wang,0.1625,525.0,0.98519
wang,0.1625,550.0,0.98170
wang,0.1625,575.0,0.97836
wang,0.1625,600.0,0.97520
wang,0.1750,150.0,0.60592
wang,0.1750,175.0,0.72350
wang,0.1750,200.0,0.81042
wang,0.1750,225.0,0.87417
wang,0.1750,250.0,0.91898
wang,0.1750,275.0,0.94882
wang,0.1750,300.0,0.96807
wang,0.1750,325.0,0.97971
wang,0.1750,350.0,0.98598
wang,0.1750,375.0,0.98857
wang,0.1750,400.0,0.98898
wang,0.1750,425.0,0.98748
wang,0.1750,450.0,0.98501
wang,0.1750,475.0,0.98200
wang,0.1750,500.0,0.97875
wang,0.1750,525.0,0.97544
wang,0.1750,550.0,0.97221
wang,0.1750,575.0,0.96912
wang,0.1750,600.0,0.96619
wang,0.1875,150.0,0.59455
wang,0.1875,175.0,0.71052
wang,0.1875,200.0,0.79650
wang,0.1875,225.0,0.85971
wang,0.1875,250.0,0.90428
wang,0.1875,275.0,0.93411
wang,0.1875,300.0,0.95349
wang,0.1875,325.0,0.96534
wang,0.1875,350.0,0.97188
wang,0.1875,375.0,0.97475
wang,0.1875,400.0,0.97545
wang,0.1875,425.0,0.97425
wang,0.1875,450.0,0.97208
wang,0.1875,475.0,0.96936
wang,0.1875,500.0,0.96638
wang,0.1875,525.0,0.96333
wang,0.1875,550.0,0.96034
